BushBlockSilver,StockBlockStone,BushBlockSilver,BushBlockSilver,BushBlockSilver,StockBlockStone,BushBlockSilver,BushBlockSilver,BushBlockSilver,StockBlockStone,BushBlockSilver,BushBlockSilver,BushBlockSilver,StockBlockStone,BushBlockSilver,BushBlockSilver
StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone,StockBlockStone,BushBlockSilver,StockBlockStone,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,StockBlockStone,,,,VerticalTubeStoneBlock,StockBlockStone
StockBlockStone,StockBlockStone,,,,,,,,,,,,,StockBlockStone,StockBlockStone
BushBlockSilver,VerticalTubeStoneBlock,,,,StockBlockStone,,,,,,,,,BushBlockSilver,VerticalTubeStoneBlock
StockBlockStone,StockBlockStone,,,,,,,,Zeela,,,,,StockBlockStone,StockBlockStone
VerticalTubeStoneBlock,BushBlockSilver,,,,,,,,StockBlockStone,,,,,VerticalTubeStoneBlock,BushBlockSilver
OrangeDoorBlock,BlueDoorTopRight,,,,,,,,,,,,,VerticalTubeStoneBlock,StockBlockStone
OrangeDoorBlock,BlueDoorMiddleRight,,,,,,,,,,,,,BlueDoorTopLeft,OrangeDoorBlock
OrangeDoorBlock,BlueDoorBottomRight,,,,,,,,,,,,,BlueDoorMiddleLeft,OrangeDoorBlock
VerticalTubeStoneBlock,StockBlockStone,StockBlockStone,,,,StockBlockStone,,,,,,,,BlueDoorBottomLeft,OrangeDoorBlock
StockBlockStone,StockBlockStone,,,,,,,,,,,StockBlockStone,StockBlockStone,StockBlockStone,StockBlockStone
BushBlockSilver,VerticalTubeStoneBlock,,,,,,,,,,,,,BushBlockSilver,VerticalTubeStoneBlock
StockBlockStone,StockBlockStone,,,,,,,,,,,,,StockBlockStone,StockBlockStone
VerticalTubeStoneBlock,BushBlockSilver,,,Zeela,,,,StockBlockStone,,,,,,VerticalTubeStoneBlock,BushBlockSilver
VerticalTubeStoneBlock,StockBlockStone,,,StockBlockStone,,,,,,,,,,VerticalTubeStoneBlock,StockBlockStone
StockBlockStone,StockBlockStone,,,,,,,,,,,,,StockBlockStone,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,StockBlockStone,,,,VerticalTubeStoneBlock,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,,,,,VerticalTubeStoneBlock,StockBlockStone
StockBlockStone,StockBlockStone,,,,StockBlockStone,,,,,,,,,StockBlockStone,StockBlockStone
BushBlockSilver,VerticalTubeStoneBlock,,,,,,,,Zeela,,,,,BushBlockSilver,VerticalTubeStoneBlock
StockBlockStone,StockBlockStone,,,,,,,,StockBlockStone,,,,,StockBlockStone,StockBlockStone
OrangeDoorBlock,BlueDoorTopRight,,,,,,,,,,,,,BlueDoorTopLeft,OrangeDoorBlock
OrangeDoorBlock,BlueDoorMiddleRight,,,,,,,,,,,,,BlueDoorMiddleLeft,OrangeDoorBlock
OrangeDoorBlock,BlueDoorBottomRight,,,,,,,,,,,,,BlueDoorBottomLeft,OrangeDoorBlock
VerticalTubeStoneBlock,StockBlockStone,StockBlockStone,,,,StockBlockStone,,,,,,,StockBlockStone,VerticalTubeStoneBlock,StockBlockStone
VerticalTubeStoneBlock,StockBlockStone,,,,,,,,,,,StockBlockStone,,VerticalTubeStoneBlock,StockBlockStone
StockBlockStone,StockBlockStone,,,,,,,,,,,,,StockBlockStone,StockBlockStone
